Account_UUID;Account_ID;Name
00163E6B-F0AE-1ED8-AB8B-362347F50426;1046982;архитектор - 2 30.08
00163E6B-F0AE-1ED8-BBDC-D1835CD0D82B;200000006;САМАРАЖИЛПРОЕКТ
00163E6B-F0AE-1ED8-BBDC-D1835CD5D82B;200000011;ГЕОМЕТРИЯ ПРОСТРАНСТВА+
00163E6B-F0AE-1ED8-BBDC-D1835CD6D82B;200000012;СТРОЙПРОЕКТ
00163E6B-F0AE-1ED8-BBDC-D1835CD8D82B;200000014;ПЕНЗТИСИЗ
00163E6B-F0AE-1ED8-BBDC-D1835CEBF82B;200000033;Управление главного архитектора
00163E6B-F0AE-1ED8-BBDC-D1835CF1382B;200000039;Полевой
00163E6B-F0AE-1ED8-BE8E-324A08C16284;1047376;test role duplicate
00163E6B-F0AE-1EE8-AF96-580A22989381;1047004;Пуненко С.Н.
00163E6B-F0AE-1EE8-BE8B-CF0533542EC5;1047364;testing role with address
00163E6B-F0AE-1EE8-BE8C-674CB0783383;1047368;Адрес аномалия
00163E6B-F0D7-1ED9-9887-646BD698C05C;1050485;Test Minsk 2
00163E6B-F27E-1EE9-80ED-54E45F5A61D0;1047420;ИП Гапочка
00163E6B-F27E-1EE9-89A8-DDA971D8B55D;1049651;Тест_Пороскун
00163EAE-F4C5-1EDB-A1F7-4B6505E4A5CA;1055842;ВИНДОМ
